symbol, frequency
"чт",0.002756229967623052
"га",0.0027387221547615624
"ну",0.0027337199225154225
"сл",0.002689950390361699
"тр",0.002688699832300164
"ю ",0.002632424719531091
"вы",0.002603661884115787
"ик",0.002529878958485224
"пл",0.00250611835531606
"из",0.0024485926844854517
" л",0.0023848142233471687
"ар",0.002376060316916424
"ие",0.0023310402267011656
"ус",0.0022697628816859524
"ид",0.002227243907593764
"бо",0.0022247427914706937
"ив",0.0021384542852247814
"ок",0.002089682520824918
"сь",0.0020734252660249636
"сп",0.002035908524178915
"ей",0.001965877272732957
"са",0.001964626714671422
"их",0.001963376156609887
"вс",0.001939615553440723
"пе",0.0018920943471023946
"ад",0.0018633315116870905
"му",0.0018195619795333667
"ия",0.0018183114214718318
" э",0.0018070563989180171
"ое",0.0017895485860565277
"чи",0.001780794679625783
"ля",0.001718266776549035
"ры",0.00171451510236443
"ож",0.0016982578475644757
" а",0.0016794994766414512
"кр",0.001660741105718427
"ше",0.0016494860831646123
"св",0.0016494860831646123
"ку",0.0016394816186723325
"ты",0.001621973805810843
"ду",0.0015769537155955846
"дн",0.0015544436704879553
"бе",0.0015519425543648853
"оз",0.0015431886479341406
"ыл",0.0015281819511957211
"ча",0.0015281819511957211
"ши",0.0015231797189495812
"ый",0.0015119246963957666
"ые",0.001498168557718882
"ул",0.0014956674415958122
"бр",0.0014906652093496723
"зн",0.0014906652093496723
"лс",0.0014844124190419976
"вн",0.0014719068384266478
"жи",0.001468155164242043
"гл",0.001468155164242043
"ых",0.0014556495836266935
"ут",0.0014518979094420884
"хо",0.0014506473513805536
"аб",0.0014506473513805536
"ая",0.001436891212703669
"ще",0.001434390096580599
" я",0.0014293878643344593
"з ",0.0014218845159652495
"ев",0.0014168822837191096
"уд",0.00140437670310376
"д ",0.0014031261450422252
"ои",0.0013681105193192463
"мн",0.0013643588451346413
"лу",0.0013506027064577567
"оч",0.001341848800027012
"эт",0.0013030815001194283
" ж",0.0012855736872579389
"тн",0.0012705669905195194
"оп",0.0012693164324579843
"ым",0.0012668153163349146
"уч",0.0012555602937810999
"бл",0.0012343008067350054
"лэ",0.0012130413196889112
"мы",0.0012117907616273763
"аж",0.0012105402035658412
"эг",0.0012092896455043064
"ек",0.0012017862971350965
"бу",0.0011905312745812819
"кт",0.001188030158458212
"еб",0.001185529042335142
"ту",0.001185529042335142
"ьн",0.0011830279262120722
" х",0.0011805268100890023
"ий",0.0011617684391659778
"ят",0.0011480123004890934
"уж",0.0011442606263044883
"вл",0.001121750581196859
"др",0.001121750581196859
"ир",0.0011205000231353241
"тс",0.0011054933263969047
"ич",0.0010954888619046249
"ез",0.0010929877457815551
"р ",0.00108923607159695
"нт",0.0010817327232277405
"зв",0.0010804821651662054
"ую",0.0010754799329200655
"гр",0.001065475468427786
"гд",0.0010429654233201566
"ги",0.001031710400766342
"ии",0.001027958726581737
"пу",0.0010204553782125272
"би",0.0010179542620894575
"ае",0.0010029475653510378
"ня",0.000994193658920293
"жн",0.0009916925427972234
"ах",0.0009841891944280135
"ун",0.0009691824976895939
"ее",0.0009616791493203842
"ьс",0.0009441713364588948
"ум",0.0009229118494128005
