symbol, frequency
"вл",0.0011217477755754116
"ир",0.0011204972206416597
"тс",0.0011054905614366374
"ич",0.0010954861219666227
"ез",0.001092985012099119
"р ",0.0010892333472978634
"нт",0.0010817300176953523
"зв",0.0010804794627616004
"ую",0.001075477243026593
"гр",0.0010654728035565783
"гд",0.0010429628147490448
"ги",0.0010317078203452782
"ии",0.0010279561555440228
"пу",0.0010204528259415116
"би",0.0010179517160740078
"ае",0.0010029450568689855
"ня",0.0009941911723327227
"жн",0.000991690062465219
"ах",0.0009841867328627078
"ун",0.0009691800736576856
"ее",0.0009616767440551745
"ьс",0.0009441689749826485
"ум",0.0009229095411088671
"ци",0.000915406211506356
"лп",0.0009129051016388523
"см",0.0009091534368375967
"уб",0.0009029006621688374
"ап",0.0009016501072350855
"аг",0.0008916456677650707
