  	18471	0.0247455
пф	2	2.67939e-06
пц	4	5.35878e-06
пч	3	4.01909e-06
пы	206	0.000275977
пь	7	9.37787e-06
пя	105	0.000140668
р 	347	0.000464875
ра	5587	0.00748488
рб	35	4.68894e-05
рв	301	0.000403249
рг	391	0.000523821
рд	97	0.000129951
ре	4871	0.00652566
рж	313	0.000419325
рз	5	6.69848e-06
ри	2942	0.00394139
рк	226	0.000302771
рл	111	0.000148706
рм	620	0.000830612
рн	436	0.000584107
ро	5613	0.00751971
рп	79	0.000105836
рр	88	0.000117893
рс	713	0.000955203
рт	528	0.000707359
ру	1631	0.00218504
рф	5	6.69848e-06
рх	127	0.000170141
рц	98	0.00013129
рч	51	6.83245e-05
рш	282	0.000377794
рщ	1	1.3397e-06
ры	873	0.00116955
рь	677	0.000906974
рю	26	3.48321e-05
ря	657	0.00088018
с 	1374	0.00184074
са	1201	0.00160897
сб	45	6.02863e-05
св	1247	0.0016706
сг	6	8.03818e-06
сд	113	0.000151386
се	2384	0.00319384
сж	3	4.01909e-06
си	1139	0.00152591
ск	2412	0.00323135
сл	1942	0.00260169
см	367	0.000491668
сн	642	0.000860085
со	3171	0.00424818
сп	1181	0.00158218
ср	325	0.000435401
сс	751	0.00100611
ст	10380	0.013906
су	1233	0.00165185
сф	26	3.48321e-05
сх	117	0.000156744
сц	43	5.76069e-05
сч	346	0.000463535
сш	85	0.000113874
сы	342	0.000458176
сь	1107	0.00148304
сю	91	0.000121912
ся	2622	0.00351268
т 	4467	0.00598442
та	4318	0.00578481
тб	11	1.47367e-05
тв	3380	0.00452817
тг	4	5.35878e-06
тд	212	0.000284016
те	4115	0.00551285
тж	4	5.35878e-06
тз	2	2.67939e-06
ти	4354	0.00583304
тк	278	0.000372435
тл	122	0.000163443
тм	22	2.94733e-05
тн	830	0.00111195
то	10198	0.0136622
тп	32	4.28703e-05
тр	1695	0.00227078
тс	1569	0.00210198
тт	29	3.88512e-05
ту	1040	0.00139328
тф	5	6.69848e-06
тх	4	5.35878e-06
тц	24	3.21527e-05
тч	81	0.000108515
тш	2	2.67939e-06
тщ	8	1.07176e-05
ты	685	0.000917692
ть	4707	0.00630595
тю	7	9.37787e-06
тя	356	0.000476932
у 	3401	0.00455631
уа	119	0.000159424
уб	305	0.000408607
ув	253	0.000338943
уг	582	0.000779703
уд	1829	0.0024503
уе	171	0.000229088
уж	1018	0.00136381
уз	113	0.000151386
уи	9	1.20573e-05
уй	15	2.00954e-05
ук	367	0.000491668
ул	460	0.00061626
ум	531	0.000711379
ун	182	0.000243825
уо	9	1.20573e-05
уп	551	0.000738173
ур	510	0.000683245
ус	810	0.00108515
ут	923	0.00123654
уу	7	9.37787e-06
уф	3	4.01909e-06
ух	146	0.000195596
уц	15	2.00954e-05
уч	865	0.00115884
уш	215	0.000288035
ущ	442	0.000592146
уэ	4	5.35878e-06
ую	1089	0.00145893
уя	18	2.41145e-05
ф 	11	1.47367e-05
фа	146	0.000195596
фе	148	0.000198275
фи	164	0.00021971
фл	37	4.95688e-05
фм	1	1.3397e-06
фн	2	2.67939e-06
фо	137	0.000183538
фр	233	0.000312149
фс	47	6.29657e-05
фт	3	4.01909e-06
фу	13	1.7416e-05
фф	4	5.35878e-06
фч	1	1.3397e-06
фы	18	2.41145e-05
фю	1	1.3397e-06
х 	3987	0.00534137
ха	188	0.000251863
хв	72	9.64581e-05
хг	2	2.67939e-06
хе	66	8.84199e-05
хи	136	0.000182199
хл	31	4.15306e-05
хм	1	1.3397e-06
хн	50	6.69848e-05
хо	1081	0.00144821
хр	162	0.000217031
хс	63	8.44008e-05
хт	6	8.03818e-06
ху	107	0.000143347
хч	1	1.3397e-06
ц 	143	0.000191577
ца	243	0.000325546
цв	35	4.68894e-05
цг	4	5.35878e-06
це	819	0.00109721
ци	1516	0.00203098
цк	248	0.000332245
цл	6	8.03818e-06
цо	108	0.000144687
цу	69	9.2439e-05
цы	119	0.000159424
ч 	75	0.000100477
ча	1488	0.00199347
чв	21	2.81336e-05
че	3002	0.00402177
чи	1343	0.00179921
чк	135	0.000180859
чл	61	8.17215e-05
чн	670	0.000897596
чо	12	1.60764e-05
чр	65	8.70802e-05
чт	2203	0.00295135
чу	297	0.00039789
чш	123	0.000164783
чь	57	7.63627e-05
ш 	107	0.000143347
ша	411	0.000550615
шв	1	1.3397e-06
ше	1874	0.00251059
ши	1240	0.00166122
шк	125	0.000167462
шл	219	0.000293393
шн	308	0.000412626
шо	141	0.000188897
шп	2	2.67939e-06
шр	1	1.3397e-06
шс	4	5.35878e-06
шт	72	9.64581e-05
шу	100	0.00013397
шь	153	0.000204973
шю	12	1.60764e-05
щ 	3	4.01909e-06
ща	213	0.000285355
ще	1422	0.00190505
щи	562	0.000752909
щн	54	7.23436e-05
щр	2	2.67939e-06
щу	46	6.1626e-05
щь	15	2.00954e-05
ы 	4141	0.00554768
ыб	45	6.02863e-05
ыв	615	0.000823913
ыг	28	3.75115e-05
ыд	88	0.000117893
ые	1240	0.00166122
ыж	10	1.3397e-05
ыз	33	4.421e-05
ыи	6	8.03818e-06
ый	748	0.00100209
ык	116	0.000155405
ыл	1189	0.0015929
ым	1090	0.00146027
ын	167	0.000223729
ып	53	7.10039e-05
ыр	110	0.000147367
ыс	474	0.000635016
ыт	466	0.000624298
ых	1191	0.00159558
ыц	5	6.69848e-06
ыч	46	6.1626e-05
ыш	129	0.000172821
ыщ	2	2.67939e-06
ыя	1	1.3397e-06
ь 	6453	0.00864506
ьб	372	0.000498367
ьв	7	9.37787e-06
ьг	16	2.14351e-05
ьд	6	8.03818e-06
ье	282	0.000377794
ьз	171	0.000229088
ьи	14	1.87557e-05
ьк	1291	0.00172955
ьл	1	1.3397e-06
ьм	57	7.63627e-05
ьн	1777	0.00238064
ьо	9	1.20573e-05
ьп	2	2.67939e-06
ьс	884	0.00118429
ьт	293	0.000392531
ьф	6	8.03818e-06
ьц	12	1.60764e-05
ьч	28	3.75115e-05
ьш	676	0.000905634
ьщ	4	5.35878e-06
ью	286	0.000383153
ья	128	0.000171481
э 	2	2.67939e-06
эб	2	2.67939e-06
эг	20	2.67939e-05
эд	1	1.3397e-06
эй	3	4.01909e-06
эк	73	9.77978e-05
эл	43	5.76069e-05
эм	3	4.01909e-06
эн	42	5.62672e-05
эп	63	8.44008e-05
эр	14	1.87557e-05
эс	11	1.47367e-05
эт	2509	0.0033613
эф	4	5.35878e-06
ю 	2227	0.0029835
юа	1	1.3397e-06
юб	100	0.00013397
