аа->0.000000 аб->0.000188 ав->0.001578 аг->0.000490 ад->0.000888 ае->0.000656 аж->0.000892 аз->0.001509 аи->0.000135 ай->0.000378 ак->0.002707 ал->0.003846 ам->0.001604 ан->0.001580 ао->0.000004 ап->0.000332 ар->0.000917 ас->0.002483 ат->0.001854 ау->0.000022 аф->0.000054 ах->0.000369 ац->0.000021 ач->0.000418 аш->0.000475 ащ->0.000098 аы->0.000000 аь->0.000000 аэ->0.000000 аю->0.000466 ая->0.000901 а ->0.007999 
ца->0.000300 цб->0.000000 цв->0.000011 цг->0.000000 цд->0.000000 це->0.000331 цж->0.000000 цз->0.000000 ци->0.000067 цй->0.000000 цк->0.000031 цл->0.000000 цм->0.000002 цн->0.000000 цо->0.000103 цп->0.000000 цр->0.000000 цс->0.000000 цт->0.000000 цу->0.000061 цф->0.000000 цх->0.000000 цц->0.000000 цч->0.000000 цш->0.000000 цщ->0.000000 цы->0.000094 ць->0.000000 цэ->0.000000 цю->0.000000 ця->0.000000 ц ->0.000231 
ча->0.001362 чб->0.000000 чв->0.000001 чг->0.000000 чд->0.000000 че->0.001985 чж->0.000000 чз->0.000000 чи->0.000818 чй->0.000000 чк->0.000115 чл->0.000016 чм->0.000001 чн->0.000431 чо->0.000034 чп->0.000000 чр->0.000148 чс->0.000001 чт->0.002294 чу->0.000312 чф->0.000000 чх->0.000000 чц->0.000000 чч->0.000000 чш->0.000066 чщ->0.000000 чы->0.000000 чь->0.000097 чэ->0.000000 чю->0.000000 чя->0.000000 ч ->0.000250 
ша->0.000424 шб->0.000000 шв->0.000027 шг->0.000000 шд->0.000000 ше->0.001036 шж->0.000000 шз->0.000000 ши->0.000681 шй->0.000000 шк->0.000244 шл->0.000244 шм->0.000006 шн->0.000167 шо->0.000100 шп->0.000006 шр->0.000005 шс->0.000000 шт->0.000014 шу->0.000132 шф->0.000000 шх->0.000000 шц->0.000000 шч->0.000000 шш->0.000000 шщ->0.000000 шы->0.000000 шь->0.000214 шэ->0.000000 шю->0.000001 шя->0.000000 ш ->0.000043 
ща->0.000140 щб->0.000000 щв->0.000000 щг->0.000000 щд->0.000000 ще->0.000723 щж->0.000000 щз->0.000000 щи->0.000223 щй->0.000000 щк->0.000000 щл->0.000000 щм->0.000000 щн->0.000023 що->0.000000 щп->0.000000 щр->0.000002 щс->0.000000 щт->0.000000 щу->0.000051 щф->0.000000 щх->0.000000 щц->0.000000 щч->0.000000 щш->0.000000 щщ->0.000000 щы->0.000000 щь->0.000010 щэ->0.000000 щю->0.000000 щя->0.000000 щ ->0.000038 
ыа->0.000000 ыб->0.000071 ыв->0.000389 ыг->0.000039 ыд->0.000082 ые->0.000268 ыж->0.000007 ыз->0.000018 ыи->0.000005 ый->0.000685 ык->0.000105 ыл->0.000918 ым->0.000484 ын->0.000138 ыо->0.000000 ып->0.000031 ыр->0.000099 ыс->0.000360 ыт->0.000429 ыу->0.000001 ыф->0.000000 ых->0.000351 ыц->0.000017 ыч->0.000158 ыш->0.000222 ыщ->0.000055 ыы->0.000000 ыь->0.000000 ыэ->0.000000 ыю->0.000000 ыя->0.000001 ы ->0.002308 
ьа->0.000000 ьб->0.000061 ьв->0.000009 ьг->0.000032 ьд->0.000022 ье->0.000295 ьж->0.000000 ьз->0.000061 ьи->0.000067 ьй->0.000000 ьк->0.000601 ьл->0.000000 ьм->0.000154 ьн->0.000679 ьо->0.000002 ьп->0.000000 ьр->0.000000 ьс->0.000451 ьт->0.000080 ьу->0.000000 ьф->0.000001 ьх->0.000000 ьц->0.000030 ьч->0.000035 ьш->0.000209 ьщ->0.000005 ьы->0.000000 ьь->0.000000 ьэ->0.000003 ью->0.000171 ья->0.000292 ь ->0.006188 
эа->0.000000 эб->0.000000 эв->0.000002 эг->0.000006 эд->0.000001 эе->0.000000 эж->0.000000 эз->0.000000 эи->0.000000 эй->0.000003 эк->0.000023 эл->0.000005 эм->0.000003 эн->0.000003 эо->0.000000 эп->0.000006 эр->0.000000 эс->0.000002 эт->0.001422 эу->0.000000 эф->0.000006 эх->0.000007 эц->0.000000 эч->0.000000 эш->0.000002 эщ->0.000000 эы->0.000000 эь->0.000000 ээ->0.000000 эю->0.000000 эя->0.000000 э ->0.000004 
юа->0.000000 юб->0.000211 юв->0.000000 юг->0.000001 юд->0.000138 юе->0.000001 юж->0.000008 юз->0.000002 юи->0.000000 юй->0.000000 юк->0.000000 юл->0.000002 юм->0.000011 юн->0.000012 юо->0.000000 юп->0.000001 юр->0.000024 юс->0.000084 ют->0.000141 юу->0.000000 юф->0.000001 юх->0.000001 юц->0.000001 юч->0.000065 юш->0.000007 ющ->0.000085 юы->0.000000 юь->0.000000 юэ->0.000000 юю->0.000014 юя->0.000000 ю ->0.001661 
яа->0.000000 яб->0.000002 яв->0.000138 яг->0.000020 яд->0.000260 яе->0.000051 яж->0.000061 яз->0.000943 яи->0.000002 яй->0.000011 як->0.000096 ял->0.000394 ям->0.000156 ян->0.000277 яо->0.000000 яп->0.000010 яр->0.000021 яс->0.000264 ят->0.000735 яу->0.000000 яф->0.000000 ях->0.000062 яц->0.000032 яч->0.000090 яш->0.000004 ящ->0.000062 яы->0.000000 яь->0.000000 яэ->0.000000 яю->0.000061 яя->0.000035 я ->0.006125 
 а->0.001281  б->0.003405  в->0.008450  г->0.001877  д->0.003770  е->0.002131  ж->0.001115  з->0.002184  и->0.005758  й->0.000000  к->0.004653  л->0.001314  м->0.003028  н->0.008312  о->0.005166  п->0.007584  р->0.001835  с->0.007758  т->0.004816  у->0.002283  ф->0.000433  х->0.000747  ц->0.000146  ч->0.003275  ш->0.000292  щ->0.000051  ы->0.000000  ь->0.000000  э->0.001458  ю->0.000020  я->0.001469   ->0.000000 
